quantile,rms_ra_mas,rms_dec_mas
0.5,33.22108277272796,20.351363237408457
0.52,33.74377256767378,20.517255591154335
0.54,34.245625238908396,20.654052937411798
0.56,34.7319641327444,20.762858700078635
0.58,35.20664018913864,20.839394937057868
0.6,35.62004625953784,21.001422995430946
0.62,36.02597418009475,21.100110696147173
0.64,36.38361707329386,21.24464227077722
0.66,36.74113860772288,21.352999169018485
0.6799999999999999,37.07293718277996,21.509274979440956
0.7,37.41901300754501,21.583223492080187
0.72,37.73794437882019,21.68161624410504
0.74,38.02727423304221,21.81205171004815
0.76,38.30772484435724,21.97306860515308
0.78,38.62445577683226,22.033563436422448
0.8,38.87696647398474,22.20291797430052
0.8200000000000001,39.13395957962971,22.375181534834066
0.8400000000000001,39.40924266248762,22.55062587410786
0.86,39.730956197853345,22.642998009677846
0.88,39.95701612250191,22.943763694606652
0.9,40.388634927863365,23.048402165436762
0.9199999999999999,40.799459166254465,23.62166136297466
0.94,41.75569525427263,24.324868801563884
0.96,43.27836198961065,26.963618336614925
0.98,53.65035262688114,29.683248595285075
1.0,130.90993556974593,146.93924562235915
